Datetime,level
2024-11-21 17:35:00,1.698
2024-11-21 17:40:00,1.699
2024-11-21 17:45:00,1.699
2024-11-21 17:50:00,1.699
2024-11-21 17:55:00,1.7
2024-11-21 18:00:00,1.7
2024-11-21 18:05:00,1.697
2024-11-21 18:10:00,1.702
2024-11-21 18:15:00,1.704
2024-11-21 18:20:00,1.706
2024-11-21 18:25:00,1.708
2024-11-21 18:30:00,1.709
2024-11-21 18:35:00,1.711
2024-11-21 18:40:00,1.714
2024-11-21 18:45:00,1.716
2024-11-21 18:50:00,1.719
2024-11-21 18:55:00,1.721
2024-11-21 19:00:00,1.721
2024-11-21 19:05:00,1.725
2024-11-21 19:10:00,1.728
2024-11-21 19:15:00,1.729
2024-11-21 19:20:00,1.733
2024-11-21 19:25:00,1.735
2024-11-21 19:30:00,1.737
2024-11-21 19:35:00,1.739
2024-11-21 19:40:00,1.74
2024-11-21 19:45:00,1.741
2024-11-21 19:50:00,1.742
2024-11-21 19:55:00,1.744
2024-11-21 20:00:00,1.745
2024-11-21 20:05:00,1.746
2024-11-21 20:10:00,1.744
2024-11-21 20:15:00,1.743
2024-11-21 20:20:00,1.743
2024-11-21 20:25:00,1.744
2024-11-21 20:30:00,1.742
2024-11-21 20:35:00,1.741
2024-11-21 20:40:00,1.742
2024-11-21 20:45:00,1.741
2024-11-21 20:50:00,1.74
2024-11-21 21:00:00,1.739
2024-11-21 21:05:00,1.739
2024-11-21 21:10:00,1.738
2024-11-21 21:15:00,1.739
2024-11-21 21:20:00,1.737
2024-11-21 21:25:00,1.735
2024-11-21 21:30:00,1.735
2024-11-21 21:35:00,1.735
2024-11-21 21:40:00,1.734
2024-11-21 21:45:00,1.73
2024-11-21 21:50:00,1.731
2024-11-21 21:55:00,1.732
2024-11-21 22:00:00,1.731
2024-11-21 22:05:00,1.73
2024-11-21 22:10:00,1.729
2024-11-21 22:15:00,1.727
2024-11-21 22:20:00,1.726
2024-11-21 22:25:00,1.725
2024-11-21 22:30:00,1.724
2024-11-21 22:35:00,1.722
2024-11-21 22:40:00,1.722
2024-11-21 22:45:00,1.721
2024-11-21 22:50:00,1.719
2024-11-21 22:55:00,1.717
2024-11-21 23:00:00,1.715
2024-11-21 23:05:00,1.715
2024-11-21 23:10:00,1.712
2024-11-21 23:15:00,1.713
2024-11-21 23:20:00,1.709
2024-11-21 23:25:00,1.709
2024-11-21 23:30:00,1.706
2024-11-21 23:35:00,1.706
2024-11-21 23:40:00,1.703
2024-11-21 23:45:00,1.702
2024-11-21 23:50:00,1.7
2024-11-21 23:55:00,1.696
2024-11-22 00:00:00,1.696
2024-11-22 00:05:00,1.696
2024-11-22 00:10:00,1.688
2024-11-22 00:15:00,1.693
2024-11-22 00:20:00,1.691
2024-11-22 00:25:00,1.69
2024-11-22 00:30:00,1.689
2024-11-22 00:35:00,1.687
2024-11-22 00:40:00,1.685
2024-11-22 00:45:00,1.684
2024-11-22 00:50:00,1.682
2024-11-22 00:55:00,1.681
2024-11-22 01:00:00,1.679
2024-11-22 01:05:00,1.677
2024-11-22 01:10:00,1.676
2024-11-22 01:15:00,1.671
2024-11-22 01:20:00,1.67
