Datetime,level
2024-09-28 04:10:00,10.32
2024-11-18 18:30:00,6.405
2024-11-18 19:30:00,6.4
2024-11-18 22:00:00,6.405
2024-11-18 22:20:00,6.402
2024-11-19 00:30:00,6.393
2024-11-19 02:45:00,6.383
2024-11-19 03:15:00,6.398
2024-11-19 05:30:00,6.375
2024-11-19 06:50:00,6.382
2024-11-19 08:00:00,6.37
2024-11-19 10:30:00,6.384
2024-11-19 10:45:00,6.374
2024-11-19 13:00:00,6.374
2024-11-19 14:20:00,6.371
2024-11-19 15:30:00,6.375
2024-11-19 18:00:00,6.377
2024-11-19 18:20:00,6.374
2024-11-19 20:30:00,6.367
2024-11-19 22:45:00,6.36
2024-11-19 23:20:00,6.363
2024-11-20 01:30:00,6.342
2024-11-20 02:45:00,6.344
2024-11-20 04:00:00,6.344
2024-11-20 06:20:00,6.329
2024-11-20 06:30:00,6.323
2024-11-20 07:45:00,6.323
2024-11-20 09:00:00,6.308
2024-11-20 09:20:00,6.302
2024-11-20 11:30:00,6.298
2024-11-20 12:50:00,6.292
2024-11-20 14:00:00,6.287
2024-11-20 16:30:00,6.276
2024-11-20 16:50:00,6.271
2024-11-20 19:00:00,6.267
2024-11-20 21:20:00,6.248
2024-11-20 22:10:00,6.251
2024-11-21 00:00:00,6.239
2024-11-21 00:20:00,6.238
2024-11-21 02:30:00,6.229
2024-11-21 05:00:00,6.218
2024-11-21 07:15:00,6.206
2024-11-21 07:20:00,6.204
2024-11-21 07:25:00,6.204
2024-11-21 07:30:00,6.209
2024-11-21 07:35:00,6.202
2024-11-21 07:40:00,6.206
2024-11-21 07:45:00,6.2
2024-11-21 07:55:00,6.202
2024-11-21 08:00:00,6.203
2024-11-21 08:05:00,6.208
2024-11-21 08:10:00,6.204
2024-11-21 08:15:00,6.201
2024-11-21 08:20:00,6.208
2024-11-21 08:25:00,6.208
2024-11-21 08:35:00,6.197
2024-11-21 08:40:00,6.202
2024-11-21 08:45:00,6.2
2024-11-21 08:50:00,6.197
2024-11-21 08:55:00,6.19
2024-11-21 09:00:00,6.192
2024-11-21 09:05:00,6.201
2024-11-21 09:10:00,6.205
2024-11-21 09:15:00,6.201
2024-11-21 09:20:00,6.201
2024-11-21 09:25:00,6.201
2024-11-21 09:35:00,6.201
2024-11-21 09:40:00,6.197
2024-11-21 09:45:00,6.201
2024-11-21 09:50:00,6.2
2024-11-21 09:55:00,6.2
2024-11-21 10:00:00,6.195
2024-11-21 10:05:00,6.193
2024-11-21 10:10:00,6.198
2024-11-21 10:15:00,6.2
2024-11-21 10:20:00,6.194
2024-11-21 10:25:00,6.199
2024-11-21 10:30:00,6.199
2024-11-21 10:35:00,6.197
2024-11-21 10:40:00,6.194
2024-11-21 10:45:00,6.192
2024-11-21 10:50:00,6.19
2024-11-21 10:55:00,6.197
2024-11-21 11:00:00,6.197
2024-11-21 11:05:00,6.196
2024-11-21 11:10:00,6.196
2024-11-21 11:15:00,6.196
2024-11-21 11:20:00,6.193
2024-11-21 11:25:00,6.195
2024-11-21 11:30:00,6.197
2024-11-21 11:40:00,6.194
2024-11-21 11:45:00,6.19
2024-11-21 11:50:00,6.188
2024-11-21 11:55:00,6.191
2024-11-21 12:00:00,6.189
2024-11-21 12:05:00,6.189
